cluster_id,doc_count,rel_freq
232,1,0.000020
231,1,0.000020
230,1,0.000020
229,1,0.000020
228,1,0.000020
226,1,0.000020
252,1,0.000020
256,1,0.000020
157,1,0.000020
274,1,0.000020
287,1,0.000020
286,1,0.000020
284,1,0.000020
283,1,0.000020
282,1,0.000020
281,1,0.000020
280,1,0.000020
279,1,0.000020
278,1,0.000020
276,1,0.000020
273,1,0.000020
257,1,0.000020
272,1,0.000020
270,1,0.000020
269,1,0.000020
268,1,0.000020
265,1,0.000020
264,1,0.000020
263,1,0.000020
262,1,0.000020
259,1,0.000020
258,1,0.000020
225,1,0.000020
223,1,0.000020
222,1,0.000020
173,1,0.000020
187,1,0.000020
185,1,0.000020
184,1,0.000020
183,1,0.000020
182,1,0.000020
181,1,0.000020
180,1,0.000020
177,1,0.000020
176,1,0.000020
175,1,0.000020
172,1,0.000020
221,1,0.000020
171,1,0.000020
169,1,0.000020
168,1,0.000020
167,1,0.000020
166,1,0.000020
165,1,0.000020
164,1,0.000020
161,1,0.000020
159,1,0.000020
158,1,0.000020
188,1,0.000020
190,1,0.000020
191,1,0.000020
192,1,0.000020
220,1,0.000020
219,1,0.000020
217,1,0.000020
216,1,0.000020
215,1,0.000020
214,1,0.000020
212,1,0.000020
211,1,0.000020
210,1,0.000020
209,1,0.000020
208,1,0.000020
206,1,0.000020
205,1,0.000020
203,1,0.000020
202,1,0.000020
201,1,0.000020
200,1,0.000020
199,1,0.000020
198,1,0.000020
197,1,0.000020
193,1,0.000020
450,1,0.000020
507,1,0.000020
452,1,0.000020
875,1,0.000020
842,1,0.000020
841,1,0.000020
840,1,0.000020
839,1,0.000020
838,1,0.000020
837,1,0.000020
836,1,0.000020
835,1,0.000020
833,1,0.000020
832,1,0.000020
831,1,0.000020
830,1,0.000020
829,1,0.000020
828,1,0.000020
826,1,0.000020
825,1,0.000020
824,1,0.000020
823,1,0.000020
822,1,0.000020
821,1,0.000020
820,1,0.000020
819,1,0.000020
818,1,0.000020
817,1,0.000020
816,1,0.000020
843,1,0.000020
844,1,0.000020
845,1,0.000020
861,1,0.000020
873,1,0.000020
872,1,0.000020
871,1,0.000020
870,1,0.000020
869,1,0.000020
868,1,0.000020
867,1,0.000020
866,1,0.000020
865,1,0.000020
863,1,0.000020
862,1,0.000020
860,1,0.000020
846,1,0.000020
859,1,0.000020
858,1,0.000020
857,1,0.000020
856,1,0.000020
854,1,0.000020
853,1,0.000020
851,1,0.000020
850,1,0.000020
849,1,0.000020
848,1,0.000020
847,1,0.000020
814,1,0.000020
813,1,0.000020
811,1,0.000020
764,1,0.000020
779,1,0.000020
778,1,0.000020
777,1,0.000020
776,1,0.000020
775,1,0.000020
774,1,0.000020
773,1,0.000020
772,1,0.000020
770,1,0.000020
769,1,0.000020
768,1,0.000020
763,1,0.000020
781,1,0.000020
762,1,0.000020
761,1,0.000020
