word,count
name,72.0
donor,72.0
leverag,72.0
decreas,72.0
hh,72.0
flaw,72.0
ongo,72.0
chart,71.0
relief,71.0
reportedli,71.0
preced,71.0
describ,71.0
danger,71.0
aggress,71.0
scenario,71.0
subscrib,71.0
align,71.0
aarp,71.0
gut,71.0
video,71.0
invok,70.0
eager,70.0
extens,70.0
bank,70.0
nbc,70.0
labrador,70.0
defin,70.0
titl,69.0
singapor,69.0
correct,69.0
neg,69.0
catastroph,69.0
vast,69.0
atlanta,69.0
va,69.0
cash,69.0
scalia,69.0
rang,69.0
safe,69.0
laid,69.0
shortli,69.0
necessarili,69.0
date,69.0
pictur,69.0
perman,68.0
gari,68.0
steven,68.0
setback,68.0
sold,68.0
deputi,68.0
cross,68.0
bid,68.0
chronic,68.0
kennedi,68.0
influenti,68.0
dismiss,68.0
complain,68.0
fenc,68.0
bottom,68.0
alter,67.0
perfect,67.0
task,67.0
shot,67.0
illinoi,67.0
desk,67.0
affair,67.0
inflat,67.0
loophol,67.0
portion,66.0
lisa,66.0
wave,66.0
costli,66.0
pitch,66.0
tank,66.0
travel,66.0
repeat,66.0
frank,66.0
assur,66.0
sustain,66.0
paper,66.0
na,66.0
art,66.0
broken,66.0
realdonaldtrump,66.0
pic,65.0
matt,65.0
televis,65.0
collect,65.0
recogn,65.0
websit,65.0
remind,65.0
discrimin,65.0
era,65.0
csr,65.0
topic,65.0
sixth,65.0
king,65.0
repli,65.0
formal,65.0
npr,65.0
impass,65.0
odd,64.0
renew,64.0
narrowli,64.0
satisfi,64.0
tennesse,64.0
tomorrow,64.0
loser,64.0
highlight,64.0
tea,64.0
lanc,64.0
water,64.0
motion,64.0
select,64.0
launch,64.0
youv,64.0
stood,64.0
ceo,64.0
investig,64.0
articl,64.0
worst,64.0
hey,64.0
cheaper,63.0
jame,63.0
virtual,63.0
weaken,63.0
turnout,63.0
weigh,63.0
weak,63.0
unlik,63.0
waiv,63.0
eye,63.0
disput,63.0
incumb,63.0
chicago,63.0
peter,62.0
defect,62.0
cole,62.0
cooper,62.0
bare,62.0
destroy,62.0
backlash,62.0
desper,62.0
notic,62.0
enorm,62.0
altogeth,62.0
stuff,62.0
exclus,62.0
tool,62.0
merrick,62.0
http,62.0
sweep,62.0
gun,62.0
physician,61.0
resolv,61.0
ron,61.0
lifetim,61.0
sale,61.0
coffman,61.0
violat,61.0
confus,61.0
train,61.0
plenti,61.0
unusu,61.0
greg,61.0
stall,61.0
reviv,61.0
persuad,61.0
ronald,61.0
forecast,60.0
notabl,60.0
player,60.0
prompt,60.0
stabl,60.0
movement,60.0
vision,60.0
hatch,60.0
joint,60.0
commiss,60.0
lay,60.0
shape,60.0
undo,60.0
rhetor,60.0
mccarthi,60.0
fit,59.0
arm,59.0
council,59.0
prior,59.0
dem,59.0
advocaci,59.0
publish,59.0
restor,59.0
id,59.0
intent,59.0
reaction,59.0
civil,58.0
credibl,58.0
size,58.0
easili,58.0
degre,58.0
tweak,58.0
quo,58.0
anticip,58.0
transform,58.0
birth,58.0
dealmak,58.0
fals,58.0
scale,58.0
well,57.0
slightli,57.0
ballot,57.0
implic,57.0
career,57.0
except,57.0
reserv,57.0
mother,57.0
surcharg,57.0
golf,57.0
cuomo,57.0
christi,57.0
conflict,57.0
sever,57.0
bridg,57.0
miss,57.0
bar,57.0
observ,56.0
buzzfe,56.0
coal,56.0
buck,56.0
withdraw,56.0
retain,56.0
terribl,56.0
suffici,56.0
earner,56.0
trail,56.0
document,56.0
karen,56.0
stock,56.0
promin,56.0
look,56.0
romney,56.0
genet,56.0
inaugur,56.0
polar,56.0
stephen,56.0
cabinet,55.0
wast,55.0
disrupt,55.0
mislead,55.0
showdown,55.0
spokeswoman,55.0
contest,55.0
powerpost,55.0
gather,55.0
contracept,55.0
dr,55.0
normal,55.0
aetna,55.0
alien,55.0
octob,55.0
pregnanc,55.0
suburban,55.0
attorney,55.0
debacl,54.0
screen,54.0
radic,54.0
badli,54.0
avert,54.0
aisl,54.0
echo,54.0
arkansa,54.0
basi,54.0
societi,54.0
spring,54.0
scrambl,54.0
son,53.0
johnson,53.0
shrink,53.0
examin,53.0
barrier,53.0
photograph,53.0
suddenli,53.0
obviou,53.0
lindsey,53.0
doom,53.0
rob,53.0
flip,53.0
champion,52.0
blunt,52.0
decemb,52.0
healthier,52.0
poorer,52.0
angri,52.0
scrap,52.0
justin,52.0
invit,52.0
enter,52.0
modest,52.0
identifi,52.0
map,52.0
dave,52.0
adequ,52.0
cassidi,52.0
reelect,52.0
impress,52.0
innov,52.0
youll,52.0
effici,52.0
thoma,52.0
conduct,52.0
longtim,52.0
davi,52.0
definit,52.0
contenti,52.0
frequent,52.0
yesterday,51.0
fundrais,51.0
winner,51.0
budgetari,51.0
beach,51.0
blueprint,51.0
conclus,51.0
reluct,51.0
routin,51.0
widespread,51.0
bracket,51.0
substanc,51.0
southern,51.0
dc,51.0
dan,51.0
knowledg,51.0
upset,51.0
anger,51.0
pocket,51.0
trigger,51.0
mello,51.0
intens,51.0
undecid,50.0
populist,50.0
fault,50.0
timelin,50.0
loom,50.0
moral,50.0
taxat,50.0
caution,50.0
urban,50.0
confront,50.0
upton,50.0
spot,50.0
summer,50.0
swamp,50.0
amt,50.0
spectrum,50.0
mess,50.0
spoken,49.0
region,49.0
convent,49.0
hurdl,49.0
hire,49.0
holiday,49.0
disagr,49.0
notion,49.0
exercis,49.0
deliber,49.0
vacanc,49.0
postpon,49.0
stuck,49.0
gonna,49.0
foreign,49.0
sanford,49.0
inevit,49.0
headlin,49.0
garden,49.0
bargain,49.0
chose,49.0
similarli,48.0
faith,48.0
judiciari,48.0
regular,48.0
link,48.0
august,48.0
drawn,48.0
owner,48.0
scienc,48.0
roy,48.0
escal,48.0
utah,48.0
murkowski,48.0
quot,48.0
anonym,47.0
grew,47.0
rel,47.0
administ,47.0
charli,47.0
skill,47.0
cornyn,47.0
wealth,47.0
chip,47.0
sector,47.0
stress,47.0
unafford,47.0
optim,47.0
expir,47.0
motiv,47.0
punish,47.0
obstruct,47.0
stronger,47.0
bloomberg,47.0
guess,47.0
occur,47.0
cheer,46.0
capita,46.0
awar,46.0
payrol,46.0
partner,46.0
frelinghuysen,46.0
pension,46.0
exact,46.0
kimmel,46.0
gingrich,46.0
abolish,46.0
incred,46.0
tonight,46.0
environ,46.0
yoho,46.0
light,46.0
montana,46.0
wake,46.0
newli,46.0
jonathan,46.0
brand,46.0
tremend,45.0
shock,45.0
vermont,45.0
context,45.0
spread,45.0
ir,45.0
writer,45.0
oblig,45.0
park,45.0
tv,45.0
lift,45.0
exclud,45.0
donat,45.0
excit,45.0
lawyer,45.0
epidem,45.0
enjoy,45.0
rsc,45.0
uncertain,45.0
disastr,45.0
rewrit,45.0
deleg,45.0
ration,45.0
interpret,44.0
enthusiasm,44.0
holdout,44.0
willing,44.0
appeas,44.0
suit,44.0
nonprofit,44.0
scalis,44.0
reproduct,44.0
overcom,44.0
abc,44.0
modern,44.0
nevada,44.0
window,44.0
jump,44.0
obstacl,44.0
label,44.0
brian,44.0
scheme,44.0
lobbyist,44.0
primarili,44.0
spike,44.0
sabotag,44.0
woo,43.0
substant,43.0
sum,43.0
enabl,43.0
onlin,43.0
valu,43.0
technic,43.0
owe,43.0
russia,43.0
black,43.0
struck,43.0
box,43.0
pregnant,43.0
symbol,43.0
investor,43.0
grown,43.0
mount,43.0
stanc,43.0
diabet,43.0
manufactur,43.0
wari,43.0
laps,43.0
emphas,43.0
implod,43.0
who,43.0
poison,43.0
plagu,43.0
global,43.0
regard,42.0
born,42.0
dream,42.0
twist,42.0
suburb,42.0
fierc,42.0
content,42.0
honest,42.0
extent,42.0
deserv,42.0
beat,42.0
broke,42.0
ambiti,42.0
tackl,42.0
balk,42.0
assert,42.0
wonder,42.0
sam,42.0
beauti,42.0
pharmaceut,42.0
importantli,42.0
overturn,42.0
prosper,42.0
know,42.0
bevin,41.0
recal,41.0
upcom,41.0
bet,41.0
upper,41.0
difficulti,41.0
shop,41.0
midnight,41.0
numer,41.0
gray,41.0
wed,41.0
portman,41.0
regret,41.0
input,41.0
alabama,41.0
section,41.0
indiana,41.0
retreat,41.0
omnibu,41.0
exit,41.0
warren,41.0
trend,41.0
submit,41.0
divers,41.0
alarm,41.0
hawk,41.0
switch,41.0
audienc,41.0
quarter,41.0
mainstream,41.0
outlet,40.0
disord,40.0
derail,40.0
fee,40.0
congresss,40.0
giant,40.0
quinnipiac,40.0
paus,40.0
dub,40.0
volunt,40.0
compon,40.0
hardlin,40.0
uniqu,40.0
colorado,40.0
devast,39.0
skyrocket,39.0
overwhelmingli,39.0
enterpris,39.0
rail,39.0
dakota,39.0
like,39.0
sentiment,39.0
straight,39.0
moor,39.0
philosophi,39.0
circumst,39.0
betray,39.0
inequ,39.0
reiter,39.0
categori,39.0
assumpt,39.0
reput,39.0
drew,39.0
hang,39.0
ultimatum,39.0
koch,39.0
sharpli,39.0
actuari,39.0
mo,39.0
float,39.0
forese,39.0
vocal,39.0
vari,39.0
ball,39.0
oversea,39.0
muster,39.0
drain,39.0
merkley,39.0
disproportion,39.0
liabil,39.0
comfort,39.0
broadli,39.0
strength,38.0
perspect,38.0
patrick,38.0
archiv,38.0
mine,38.0
sooner,38.0
leonard,38.0
halt,38.0
hammer,38.0
root,38.0
search,38.0
grassroot,38.0
neutral,38.0
mandatori,38.0
properti,38.0
rubio,38.0
belief,38.0
billionair,38.0
gerrymand,38.0
andrew,38.0
propon,38.0
hadnt,38.0
withhold,38.0
ruddi,38.0
excus,38.0
compel,38.0
advertis,37.0
missouri,37.0
cook,37.0
error,37.0
underscor,37.0
flat,37.0
graphic,37.0
leak,37.0
overwhelm,37.0
father,37.0
prong,37.0
entiti,37.0
pam,37.0
workforc,37.0
freez,37.0
usual,37.0
wealthiest,37.0
copay,37.0
empow,37.0
temporari,37.0
newt,37.0
bipartisanship,37.0
connect,37.0
begun,37.0
demint,37.0
homeland,37.0
centuri,37.0
walter,37.0
reuter,37.0
bought,37.0
understood,37.0
spokesperson,36.0
speed,36.0
evalu,36.0
dnc,36.0
capabl,36.0
needham,36.0
religi,36.0
dccc,36.0
recommend,36.0
justifi,36.0
eric,36.0
method,36.0
pleas,36.0
sure,36.0
